PREVIEWS JULY VOL. 23 #7

PAGE 24					
PREVIEWS PUBLICATIONS					
	JUL13 0076	EMPOWERED SPECIAL #5 NINE BEERS WITH NINJETTE	9/25/2013	SRP: $3.99	 = $
PAGE 60					
	JUL13 0077	BANDETTE HC VOL 01 PRESTO (C: 0-1-2)	11/6/2013	SRP: $14.99	 = $
	JUL13 0078	SABERTOOTH SWORDSMAN HC (C: 0-1-2)	11/13/2013	SRP: $17.99	 = $
PAGE 61					
SPOT	JUL13 0079	LAST MAN STANDING KILLBOOK BOUNTY HUNTER HC (C: 0-1-2)	11/6/2013	SRP: $59.99	 = $
PAGE 62					
SPOT	JUL13 0080	HOUSE OF GOLD & BONES TP (C: 0-1-2)	11/27/2013	SRP: $14.99	 = $
PAGE 63					
SPOT	JUL13 0081	TERMINATOR BURNING EARTH TP (C: 0-1-2)	11/13/2013	SRP: $17.99	 = $
PAGE 64					
	JUL13 0082	MAGNUS ARCHIVES TP VOL 02 (C: 0-1-2)	11/20/2013	SRP: $19.99	 = $
SS	JUL13 0083	MAGNUS ROBOT FIGHTER HC VOL 02 4000 AD (DEC040019)	8/21/2013	SRP: $49.95	 = $
SS	JUL13 0084	MAGNUS ROBOT FIGHTER HC VOL 03 4000 AD (DEC050017)	8/14/2013	SRP: $49.95	 = $
SS	JUL13 0085	MAGNUS ROBOT FIGHTER TP VOL 01 (FEB110022)	8/21/2013	SRP: $15.99	 = $
SS	JUL13 0086	DOCTOR SOLAR MAN OF THE ATOM HC VOL 02 (JAN050054)	8/14/2013	SRP: $49.95	 = $
SS	JUL13 0087	DOCTOR SOLAR MAN OF THE ATOM HC VOL 03 (JUN050036)	8/21/2013	SRP: $49.95	 = $
SS	JUL13 0088	DOCTOR SOLAR MAN OF THE ATOM HC VOL 04 (JUL070016)	8/14/2013	SRP: $49.95	 = $
SS	JUL13 0089	DOCTOR SOLAR MAN OF THE ATOM TP VOL 01 (JAN110085)	8/21/2013	SRP: $15.99	 = $
PAGE 65					
	JUL13 0090	LONE WOLF & CUB OMNIBUS TP VOL 03 (C: 0-1-2)	11/13/2013	SRP: $19.99	 = $
	JUL13 0091	OH MY GODDESS RTL TP VOL 45 (C: 0-1-2)	11/20/2013	SRP: $12.99	 = $
PAGE 66					
	JUL13 0092	BERSERK TP VOL 37 (C: 0-1-2)	11/20/2013	SRP: $14.99	 = $
PAGE 67					
	JUL13 0093	GRIMM COIN REPLICA PIN (C: 1-0-0)	9/25/2013	SRP: $12.99	 = $
	JUL13 0094	GRIMM 2.75 IN KEY REPLICA PIN (C: 1-0-0)	9/25/2013	SRP: $14.99	 = $
	JUL13 0095	GRIMM COFFEE CUP MUG (C: 1-0-0)	9/25/2013	SRP: $12.99	 = $
	JUL13 0096	GRIMM PINT GLASS (C: 1-0-0)	9/25/2013	SRP: $9.99	 = $
	JUL13 0097	GRIMM SKULL PATCH (C: 1-0-0)	9/25/2013	SRP: $4.99	 = $
	JUL13 0098	GRIMM LUNCHBOX (C: 1-0-0)	9/25/2013	SRP: $14.99	 = $
PAGE 68					
	JUL13 0099	GAME OF THRONES PINT GLASS SET STARK & BARATHEON (C: 1-0-0)	9/18/2013	SRP: $19.99	 = $
	JUL13 0100	GAME OF THRONES PINT GLASS SET TARGARYEN & LANNISTER (C: 1-0-0)	9/18/2013	SRP: $19.99	 = $
	JUL13 0101	GAME OF THRONES SHOT GLASS SET BARATHEON TARGARYEN LANNISTER (C: 1-0-0)	9/18/2013	SRP: $19.99	 = $
PAGE 69					
SPOT	JUL13 0102	GAME OF THRONES WHITE WALKER BUST (C: 1-1-2)	11/27/2013	SRP: $124.99	 = $
	JUL13 0103	CLASSIC MARVEL CHARACTERS X-MEN #5 ICEMAN (C: 1-1-2)	12/11/2013	SRP: $49.95	 = $
PAGE 70					
SS	JUL13 0104	STAR WARS DARK EMPIRE II TP 2ND ED (JUN060046) (C: 1-0-0)	8/14/2013	SRP: $19.95	 = $
SS	JUL13 0105	STAR WARS DARK TIMES TP VOL 01 PATH TO NOWHERE (NEW PTG) (JUL128221) (C: 1-0-0)	8/21/2013	SRP: $17.99	 = $
SS	JUL13 0106	STAR WARS DARK TIMES TP VOL 02 PARALLELS (APR080103) (C: 1-0-0)	8/14/2013	SRP: $17.95	 = $
SS	JUL13 0107	STAR WARS DARK TIMES TP VOL 04 BLUE HARVEST (SEP100095) (C: 1-0-0)	8/21/2013	SRP: $17.99	 = $
SS	JUL13 0108	STAR WARS EMPIRE TP VOL 01 (STAR19438) (C: 1-0-0)	8/14/2013	SRP: $12.95	 = $
SS	JUL13 0109	STAR WARS EMPIRE TP VOL 02 DARKLIGHTER NEW PTG (FEB108518) (C: 1-0-0)	8/21/2013	SRP: $17.99	 = $
OA	JUL13 0110	STAR WARS EMPIRE TP VOL 03 IMPERIAL PERSPECTIVE NEW PTG (O/A) (C: 1-0-0)	8/14/2013	SRP: $17.99	 = $
SS	JUL13 0111	STAR WARS EMPIRE TP VOL 04 HEART OF THE REBELLION (DEC040058) (C: 1-0-0)	8/21/2013	SRP: $17.95	 = $
SS	JUL13 0112	STAR WARS EMPIRE TP VOL 05 (NOV050014) (C: 1-0-0)	8/14/2013	SRP: $14.95	 = $
SS	JUL13 0113	STAR WARS EMPIRE TP VOL 06 I/T SHADOWS OF FATHERS (JUN060047) (C: 1-0-0)	8/21/2013	SRP: $17.95	 = $
SS	JUL13 0114	STAR WARS EMPIRE TP VOL 07 WRONG SIDE O/T WAR (SEP060044) (C: 1-0-0)	8/14/2013	SRP: $17.95	 = $
SS	JUL13 0115	STAR WARS KNIGHTS OLD REPUBLIC TP VOL 01 COMMENCEMENT (SEP098126) (C: 1-0-0)	8/21/2013	SRP: $18.99	 = $
SS	JUL13 0116	STAR WARS KNIGHTS OLD REPUBLIC TP VOL 02 FLASHPOINT (MAY108015) (C: 1-0-0)	8/14/2013	SRP: $18.99	 = $
SS	JUL13 0117	STAR WARS KNIGHTS OLD REPUBLIC TP VOL 03 DAYS OF FEAR NIGHTS OF ANGER (SEP070099) (C: 1-0-0)	8/21/2013	SRP: $18.95	 = $
SS	JUL13 0118	STAR WARS KNIGHTS OLD REPUBLIC TP VOL 04 DAZE OF HATE KNIGHTS OF SUFFERING (MAY080068) (C: 1-0-0)	8/14/2013	SRP: $18.95	 = $
SS	JUL13 0119	STAR WARS KNIGHTS OLD REPUBLIC TP VOL 06 VINDICATION (AUG108207) (C: 1-0-0)	8/21/2013	SRP: $19.99	 = $
SS	JUL13 0120	STAR WARS KNIGHTS OLD REPUBLIC TP VOL 07 DUELING AMBITIONS (JUL090099) (C: 1-0-0)	8/14/2013	SRP: $18.95	 = $
SS	JUL13 0121	STAR WARS KNIGHTS OLD REPUBLIC TP VOL 08 DESTROYER (OCT090108) (C: 1-0-0)	8/21/2013	SRP: $17.99	 = $
SS	JUL13 0122	STAR WARS KNIGHTS OLD REPUBLIC TP VOL 09 DEMON (MAR100078) (C: 1-0-0)	8/14/2013	SRP: $16.99	 = $
SS	JUL13 0123	STAR WARS LEGACY TP VOL 01 BROKEN NEW PTG (APR108115) (C: 1-0-0)	8/21/2013	SRP: $17.99	 = $
SS	JUL13 0124	STAR WARS LEGACY TP VOL 02 SHARDS NEW PTG (APR108272) (C: 1-0-0)	8/14/2013	SRP: $19.99	 = $
SS	JUL13 0125	STAR WARS LEGACY TP VOL 05 NEW PTG (APR108112) (C: 1-0-0)	8/21/2013	SRP: $15.99	 = $
SS	JUL13 0126	STAR WARS LEGACY TP VOL 07 STORMS (AUG090052) (C: 1-0-0)	8/14/2013	SRP: $17.95	 = $
SS	JUL13 0127	STAR WARS LEGACY TP VOL 08 TATOOINE (NOV090075) (C: 1-0-0)	8/21/2013	SRP: $17.99	 = $
SS	JUL13 0128	STAR WARS LEGACY TP VOL 09 MONSTER (MAR100077) (C: 1-0-0)	8/14/2013	SRP: $17.99	 = $
OA	JUL13 0129	STAR WARS LEGACY TP VOL 10 EXTREMES (O/A) (C: 1-0-0)	8/21/2013	SRP: $15.99	 = $
SS	JUL13 0130	STAR WARS THRAWN TRILOGY HC VOL 01 NEW PTG (DEC098483) (C: 1-0-0)	8/14/2013	SRP: $34.99	 = $
SS	JUL13 0131	STAR WARS REBELLION TP VOL 01 MY BROTHER MY ENEMY (OCT060044) (C: 1-0-0)	8/21/2013	SRP: $14.95	 = $
SS	JUL13 0132	STAR WARS REBELLION TP VOL 02 AHAKISTA GAMBIT (OCT070070) (C: 1-0-0)	8/14/2013	SRP: $17.95	 = $
SS	JUL13 0133	STAR WARS REBELLION TP VOL 03 SMALL VICTORIES (JUL080058) (C: 1-0-0)	8/21/2013	SRP: $12.95	 = $
