PREVIEWS DECEMBER VOL. 23 #1

PREVIEWS PUBLICATIONS					
FREE COMIC BOOK DAY					
PAGE 30					
MERCHANDISE					
SS	JAN13 0140	GAME OF THRONES COASTER SET HOUSE SIGIL (JAN120134) (C: 1-0-0)	3/6/2013	SRP: $9.99	 = $
SS	JAN13 0141	GAME OF THRONES COFFEE MUG BARATHEON (FEB120078) (C: 1-0-0)	3/6/2013	SRP: $12.99	 = $
SS	JAN13 0142	GAME OF THRONES COFFEE MUG GREYJOY (APR120056) (C: 1-0-0)	3/6/2013	SRP: $12.99	 = $
SS	JAN13 0143	GAME OF THRONES COFFEE MUG LANNISTER (FEB120077) (C: 1-0-0)	3/6/2013	SRP: $12.99	 = $
SS	JAN13 0144	GAME OF THRONES COFFEE MUG STARK (JAN120132) (C: 1-0-0)	3/6/2013	SRP: $12.99	 = $
SS	JAN13 0145	GAME OF THRONES COFFEE MUG TARGARYEN (JAN120133) (C: 1-0-0)	3/6/2013	SRP: $12.99	 = $
SS	JAN13 0146	GAME OF THRONES EMBROIDERED PATCH BARATHEON (JAN120137) (C: 1-0-0)	3/6/2013	SRP: $4.99	 = $
SS	JAN13 0147	GAME OF THRONES EMBROIDERED PATCH GREYJOY (APR120057) (C: 1-0-0)	3/6/2013	SRP: $4.99	 = $
SS	JAN13 0148	GAME OF THRONES EMBROIDERED PATCH LANNISTER (JAN120138) (C: 1-0-0)	3/6/2013	SRP: $4.99	 = $
OA	JAN13 0149	GAME OF THRONES EMBROIDERED PATCH STARK (O/A) (C: 1-0-0)	2/27/2013	SRP: $4.99	 = $
SS	JAN13 0150	GAME OF THRONES EMBROIDERED PATCH TARGARYEN (JAN120136) (C: 1-0-0)	3/6/2013	SRP: $4.99	 = $
SS	JAN13 0151	GAME OF THRONES EMBROIDERED PATCH TULLY (APR120058) (C: 1-0-0)	3/6/2013	SRP: $4.99	 = $
SS	JAN13 0152	GAME OF THRONES HAND O/T KING METAL PIN (JAN120131) (C: 1-0-0)	3/6/2013	SRP: $12.99	 = $
PAGE 83					
	JAN13 0153	GARY BASEMAN TOBY PIN (C: 0-1-2)	3/20/2013	SRP: $14.99	 = $
	JAN13 0154	GARY BASEMAN EYE PIN (C: 0-1-2)	3/20/2013	SRP: $14.99	 = $
	JAN13 0155	GARY BASEMAN COFFEE CUP (C: 0-1-2)	3/20/2013	SRP: $12.99	 = $
	JAN13 0156	GARY BASEMAN PINT GLASS (C: 0-1-2)	3/20/2013	SRP: $9.99	 = $
SPOT	JAN13 0157	GARY BASEMAN CHOUCHOU PARTY LIGHTS (C: 0-1-2)	4/24/2013	SRP: $14.99	 = $
PAGE 84					
SS	JAN13 0158	BPRD TP VOL 01 HOLLOW EARTH & OTHER STORIES (NEW PTG) (FEB128074)	3/6/2013	SRP: $17.99	 = $
SS	JAN13 0159	BPRD TP VOL 02 SOUL OF VENICE AND OTHER STORIES (FEB128075)	3/6/2013	SRP: $17.99	 = $
SS	JAN13 0160	BPRD TP VOL 03 PLAGUE OF FROGS (NEW PTG) (FEB128076)	3/6/2013	SRP: $17.99	 = $
SS	JAN13 0161	BPRD TP VOL 04 THE DEAD (JUN050015)	3/6/2013	SRP: $17.95	 = $
SS	JAN13 0162	BPRD TP VOL 05 BLACK FLAME NEW PTG (APR108092)	3/6/2013	SRP: $17.99	 = $
SS	JAN13 0163	BPRD TP VOL 06 UNIVERSAL MACHINE NEW PTG (NOV108009)	3/6/2013	SRP: $17.99	 = $
SS	JAN13 0164	BPRD TP VOL 07 GARDEN OF SOULS NEW PTG (JAN118122)	3/6/2013	SRP: $17.99	 = $
SS	JAN13 0165	BPRD TP VOL 08 KILLING GROUND NEW PTG (OCT098272)	3/6/2013	SRP: $17.99	 = $
SS	JAN13 0166	BPRD TP VOL 09 1946 NEW PTG (APR108091)	3/6/2013	SRP: $17.99	 = $
SS	JAN13 0167	BPRD TP VOL 10 THE WARNING NEW PTG (JAN118118)	3/6/2013	SRP: $17.99	 = $
SS	JAN13 0168	BPRD TP VOL 11 BLACK GODDESS NEW PTG (JAN118123)	3/6/2013	SRP: $17.99	 = $
SS	JAN13 0169	BPRD TP VOL 12 WAR ON FROGS (JAN100191)	3/6/2013	SRP: $17.99	 = $
OA	JAN13 0170	BPRD TP VOL 13 1947 (O/A) (C: 1-0-0)	2/27/2013	SRP: $17.99	 = $
SS	JAN13 0171	BPRD TP VOL 14 KING OF FEAR (JUL100071)	3/6/2013	SRP: $17.99	 = $
SS	JAN13 0172	BPRD BEING HUMAN TP (AUG110037)	3/6/2013	SRP: $17.99	 = $
SS	JAN13 0173	BPRD HELL ON EARTH TP VOL 01 NEW WORLD (APR110034)	3/6/2013	SRP: $19.99	 = $
SS	JAN13 0174	BPRD HELL ON EARTH TP VOL 02 GODS AND MONSTERS (SEP110018)	3/6/2013	SRP: $19.99	 = $
SS	JAN13 0175	BPRD HELL ON EARTH TP VOL 03 RUSSIA (APR120025)	3/6/2013	SRP: $19.99	 = $
SS	JAN13 0176	BPRD PLAGUE OF FROGS HC VOL 01 (OCT100016)	3/6/2013	SRP: $34.99	 = $
SS	JAN13 0177	BPRD PLAGUE OF FROGS HC VOL 02 (MAY110034)	3/6/2013	SRP: $34.99	 = $
SS	JAN13 0178	BPRD PLAGUE OF FROGS HC VOL 03 (DEC110057)	3/6/2013	SRP: $34.99	 = $
OA	JAN13 0179	BPRD EMBROIDERED PATCH (O/A)	2/27/2013	SRP: $4.99	 = $
OA	JAN13 0180	STATIONERY SET MIKE MIGNOLA BPRD (O/A)	2/27/2013	SRP: $4.99	 = $
SS	JAN13 0181	4 INCH DOMO VINYL FIGURE BLACK LIGHT PINK (DEC110088) (C: 1-0-0)	3/6/2013	SRP: $14.99	 = $
SS	JAN13 0182	4 INCH DOMO VINYL FIGURE BLACK LIGHT BLUE (DEC110085) (C: 1-0-0)	3/6/2013	SRP: $14.99	 = $
SS	JAN13 0183	4 INCH DOMO VINYL FIGURE BLACK LIGHT GREEN (DEC110087) (C: 1-0-0)	3/6/2013	SRP: $14.99	 = $
SS	JAN13 0184	4 INCH DOMO VINYL FIGURE BLACK LIGHT ORANGE (DEC110090) (C: 1-0-0)	3/6/2013	SRP: $14.99	 = $
SS	JAN13 0185	4 INCH DOMO VINYL FIGURE BLACK LIGHT YELLOW (DEC110091) (C: 1-0-0)	3/6/2013	SRP: $14.99	 = $
SS	JAN13 0186	4 INCH DOMO VINYL FIGURE BLACK LIGHT RED (DEC110086) (C: 1-0-0)	3/6/2013	SRP: $14.99	 = $
SS	JAN13 0187	4 INCH DOMO VINYL FIGURE BLACK LIGHT PURPLE (DEC110089) (C: 1-0-0)	3/6/2013	SRP: $14.99	 = $
SS	JAN13 0188	4 INCH DOMO METALLIC VINYL FIGURE SILVER (JUN120059) (C: 1-0-0)	3/6/2013	SRP: $14.99	 = $
SS	JAN13 0189	4 INCH DOMO METALLIC VINYL FIGURE GOLD (JUN120058) (C: 1-0-0)	3/6/2013	SRP: $14.99	 = $
SS	JAN13 0190	4 INCH DOMO METALLIC VINYL FIGURE BRONZE (JUN120060) (C: 1-0-0)	3/6/2013	SRP: $14.99	 = $
SS	JAN13 0191	4 INCH DOMO FLOCKED VINYL FIGURE LIME SODA (JUN120055) (C: 1-0-0)	3/6/2013	SRP: $14.99	 = $
SS	JAN13 0192	4 INCH DOMO FLOCKED VINYL FIGURE ORANGE SODA (JUN120057) (C: 1-0-0)	3/6/2013	SRP: $14.99	 = $
SS	JAN13 0193	4 INCH DOMO FLOCKED VINYL FIGURE GRAPE SODA (JUN120056) (C: 1-0-0)	3/6/2013	SRP: $14.99	 = $
SS	JAN13 0194	DOMO QEE SERIES 4 MYSTERY DISPLAY CASE (JAN120122) (C: 1-0-0)	3/6/2013	SRP: $134.85	 = $
PAGE 86					
DC COMICS					
DC UNIVERSE: JUSTICE LEAGUE					
	JAN13 0195	JUSTICE LEAGUE OF AMERICA #2	3/6/2013	SRP: $3.99	 = $
	JAN13 0198	JUSTICE LEAGUE OF AMERICA #2 COMBO PACK	3/6/2013	SRP: $4.99	 = $
PAGE 87					
	JAN13 0199	GREEN ARROW #18	3/6/2013	SRP: $2.99	 = $
PAGE 88					
	JAN13 0201	KATANA #2	3/13/2013	SRP: $2.99	 = $
PAGE 89					
	JAN13 0203	JUSTICE LEAGUE OF AMERICAS VIBE #2	3/20/2013	SRP: $2.99	 = $
PAGE 90					
	JAN13 0205	JUSTICE LEAGUE #18	3/20/2013	SRP: $3.99	 = $
	JAN13 0208	JUSTICE LEAGUE #18 COMBO PACK	3/20/2013	SRP: $4.99	 = $
PAGE 91					
	JAN13 0209	AQUAMAN #18	3/27/2013	SRP: $2.99	 = $
PAGE 92					
	JAN13 0211	FLASH #18	3/27/2013	SRP: $2.99	 = $
PAGE 93					
	JAN13 0213	WONDER WOMAN #18	3/20/2013	SRP: $2.99	 = $
PAGE 94					
	JAN13 0215	SAVAGE HAWKMAN #18	3/27/2013	SRP: $2.99	 = $
PAGE 95					
	JAN13 0216	DC UNIVERSE PRESENTS #18	3/20/2013	SRP: $2.99	 = $
	JAN13 0217	FURY OF FIRESTORM THE NUCLEAR MAN #18	3/27/2013	SRP: $2.99	 = $
PAGE 96					
	JAN13 0218	EARTH 2 #10	3/6/2013	SRP: $2.99	 = $
PAGE 97					
	JAN13 0220	WORLDS FINEST #10	3/6/2013	SRP: $2.99	 = $
PAGE 98					
DC UNIVERSE: SUPERMAN					
	JAN13 0221	ACTION COMICS #18	3/6/2013	SRP: $3.99	 = $
	JAN13 0223	ACTION COMICS #18 WE CAN BE HEROES BLANK VAR ED	3/6/2013	SRP: $3.99	 = $
	JAN13 0224	ACTION COMICS #18 COMBO PACK	3/6/2013	SRP: $4.99	 = $
PAGE 99					
	JAN13 0225	SUPERMAN #18	3/27/2013	SRP: $2.99	 = $
PAGE 100					
	JAN13 0227	SUPERBOY #18	3/13/2013	SRP: $2.99	 = $
PAGE 101					
	JAN13 0228	SUPERGIRL #18	3/20/2013	SRP: $2.99	 = $
PAGE 102					
DC UNIVERSE: BATMAN					
	JAN13 0229	BATMAN INCORPORATED #9	3/27/2013	SRP: $2.99	 = $
	JAN13 0232	BATMAN INCORPORATED #9 COMBO PACK	3/27/2013	SRP: $3.99	 = $
PAGE 103					
	JAN13 0233	BATMAN AND ROBIN #18	3/13/2013	SRP: $2.99	 = $
PAGE 104					
	JAN13 0234	BATMAN #18	3/13/2013	SRP: $3.99	 = $
	JAN13 0237	BATMAN #18 COMBO PACK	3/13/2013	SRP: $4.99	 = $
PAGE 105					
	JAN13 0238	TALON #6	3/27/2013	SRP: $2.99	 = $
PAGE 106					
	JAN13 0240	BATMAN THE DARK KNIGHT #18	3/27/2013	SRP: $2.99	 = $
PAGE 107					
	JAN13 0242	DETECTIVE COMICS #18	3/6/2013	SRP: $3.99	 = $
	JAN13 0244	DETECTIVE COMICS #18 COMBO PACK	3/6/2013	SRP: $4.99	 = $
PAGE 108					
	JAN13 0245	BATGIRL #18	3/13/2013	SRP: $2.99	 = $
PAGE 109					
	JAN13 0246	BATWOMAN #18	3/20/2013	SRP: $2.99	 = $
PAGE 110					
	JAN13 0248	CATWOMAN #18	3/20/2013	SRP: $2.99	 = $
PAGE 111					
	JAN13 0249	BIRDS OF PREY #18	3/20/2013	SRP: $2.99	 = $
PAGE 112					
	JAN13 0250	BATWING #18	3/6/2013	SRP: $2.99	 = $
	JAN13 0251	NIGHTWING #18	3/20/2013	SRP: $2.99	 = $
PAGE 113					
	JAN13 0252	RED HOOD AND THE OUTLAWS #18	3/20/2013	SRP: $2.99	 = $
PAGE 114					
DC UNIVERSE: GREEN LANTERN					
	JAN13 0253	GREEN LANTERN #18 (WRATH)	3/6/2013	SRP: $2.99	 = $
	JAN13 0255	GREEN LANTERN #18 COMBO PACK (WRATH)	3/6/2013	SRP: $3.99	 = $
PAGE 115					
	JAN13 0256	GREEN LANTERN CORPS #18 (WRATH)	3/13/2013	SRP: $2.99	 = $
PAGE 116					
	JAN13 0258	GREEN LANTERN NEW GUARDIANS #18 (WRATH)	3/20/2013	SRP: $2.99	 = $
PAGE 117					
	JAN13 0260	RED LANTERNS #18 (WRATH)	3/27/2013	SRP: $2.99	 = $
PAGE 118					
DC UNIVERSE: THE DARK					
GEM	JAN13 0262	CONSTANTINE #1	3/13/2013	SRP: $2.99	 = $
PAGE 119					
	JAN13 0264	JUSTICE LEAGUE DARK #18	3/27/2013	SRP: $2.99	 = $
PAGE 120					
	JAN13 0265	PHANTOM STRANGER #6	3/6/2013	SRP: $2.99	 = $
PAGE 121					
	JAN13 0266	SWORD OF SORCERY #6	3/20/2013	SRP: $3.99	 = $
PAGE 122					
	JAN13 0267	ANIMAL MAN #18 (ROT)	3/6/2013	SRP: $2.99	 = $
PAGE 123					
	JAN13 0268	SWAMP THING #18 (ROT)	3/6/2013	SRP: $2.99	 = $
PAGE 124					
	JAN13 0269	DIAL H #10	3/6/2013	SRP: $2.99	 = $
PAGE 125					
	JAN13 0270	DEMON KNIGHTS #18	3/13/2013	SRP: $2.99	 = $
	JAN13 0271	I VAMPIRE #18	3/27/2013	SRP: $2.99	 = $
PAGE 126					
DC UNIVERSE: THE EDGE					
	JAN13 0272	TEAM 7 #6	3/13/2013	SRP: $2.99	 = $
PAGE 127					
	JAN13 0273	THRESHOLD #3	3/13/2013	SRP: $3.99	 = $
PAGE 128					
	JAN13 0275	ALL STAR WESTERN #18	3/27/2013	SRP: $3.99	 = $
PAGE 129					
	JAN13 0276	DEATHSTROKE #18	3/13/2013	SRP: $2.99	 = $
	JAN13 0277	STORMWATCH #18	3/6/2013	SRP: $2.99	 = $
PAGE 130					
	JAN13 0278	SUICIDE SQUAD #18	3/13/2013	SRP: $2.99	 = $
	JAN13 0279	LEGION OF SUPER HEROES #18	3/20/2013	SRP: $2.99	 = $
PAGE 131					
DC UNIVERSE: YOUNG JUSTICE					
	JAN13 0280	TEEN TITANS #18	3/27/2013	SRP: $2.99	 = $
PAGE 132					
	JAN13 0282	RAVAGERS #10	3/13/2013	SRP: $2.99	 = $
PAGE 133					
DC COMICS					
SPOT	JAN13 0283	AME COMI GIRLS #1	3/6/2013	SRP: $3.99	 = $
PAGE 134					
	JAN13 0285	BATMAN ARKHAM UNHINGED #12	3/13/2013	SRP: $3.99	 = $
	JAN13 0286	BATMAN BEYOND UNLIMITED #14	3/20/2013	SRP: $3.99	 = $
PAGE 135					
	JAN13 0287	ARROW #5	3/27/2013	SRP: $3.99	 = $
	JAN13 0288	HUMAN BOMB #4 (OF 4)	3/6/2013	SRP: $2.99	 = $
PAGE 136					
	JAN13 0289	JSA LIBERTY FILES THE WHISTLING SKULL #4 (OF 6)	3/20/2013	SRP: $2.99	 = $
	JAN13 0290	LEGENDS OF THE DARK KNIGHT #6	3/6/2013	SRP: $3.99	 = $
PAGE 137					
	JAN13 0291	JOE KUBERT PRESENTS #6 (OF 6)	3/27/2013	SRP: $4.99	 = $
	JAN13 0292	SMALLVILLE SEASON 11 #11	3/6/2013	SRP: $3.99	 = $
PAGE 138					
COLLECTED EDITIONS					
SPOT	JAN13 0293	AQUAMAN HC VOL 02 THE OTHERS (N52)	5/15/2013	SRP: $22.99	 = $
SPOT	JAN13 0294	BATMAN INCORPORATED HC VOL 01 DEMON STAR (N52)	5/8/2013	SRP: $24.99	 = $
PAGE 139					
	JAN13 0295	DIAL H TP VOL 01 INTO YOU (N52)	4/17/2013	SRP: $14.99	 = $
	JAN13 0296	BATMAN DETECTIVE TP VOL 01 FACES OF DEATH (N52)	4/3/2013	SRP: $16.99	 = $
	JAN13 0297	BIRDS OF PREY TP VOL 02 YOUR KISS MIGHT KILL (N52)	4/17/2013	SRP: $14.99	 = $
PAGE 140					
	JAN13 0298	FRANKENSTEIN OF SHADE TP VOL 02 SECRETS DEAD (N52)	4/17/2013	SRP: $16.99	 = $
	JAN13 0299	BLUE BEETLE TP VOL 02 BLUE DIAMOND (N52) (RES)	4/24/2013	SRP: $19.99	 = $
SPOT	JAN13 0300	SUPERMAN ACTION COMICS HC VOL 02 BULLETPROOF (N52)	5/1/2013	SRP: $24.99	 = $
PAGE 141					
SPOT	JAN13 0301	SWAMP THING TP VOL 02 FAMILY TREE (N52)	4/10/2013	SRP: $14.99	 = $
	JAN13 0302	WORLDS FINEST TP VOL 01 LOST DAUGHTERS (N52)	4/3/2013	SRP: $14.99	 = $
PAGE 142					
	JAN13 0303	DC UNIVERSE SECRET ORIGINS TP	4/3/2013	SRP: $24.99	 = $
	JAN13 0304	LEGION WORLDS TP	4/24/2013	SRP: $19.99	 = $
	JAN13 0305	AUTHORITY HC VOL 01	5/15/2013	SRP: $29.99	 = $
